“”,”X”,”X.1”,”X.2”,”Month”,”Day”,”Name”,”Party”,”From”,”Age”
"125","Rep. Scott DesJarlais, R-Tenn., 50",TRUE,"2/21/2014",21,2,"Rep. Scott DesJarlais"," R","Tenn.",50
"126","Rep. John Lewis, D-Ga.,74",TRUE,"2/21/2014",21,2,"Rep. John Lewis"," D","Ga.",74
"127","Rep. Steven M. Palazzo, R-Miss., 44",TRUE,"2/21/2014",21,2,"Rep. Steven M. Palazzo"," R","Miss.",44
"128","Rep. John Shimkus, R-Ill., 56",TRUE,"2/21/2014",21,2,"Rep. John Shimkus"," R","Ill.",56
"130","Rep. Kenny Marchant, R-Texas, 63",TRUE,"2/23/2014",23,2,"Rep. Kenny Marchant"," R","Texas",63
"132","Rep. Bill Flores, R-Texas, 60",TRUE,"2/25/2014",25,2,"Rep. Bill Flores"," R","Texas",60
"133","Rep. Jim Gerlach, R-Pa., 59",TRUE,"2/25/2014",25,2,"Rep. Jim Gerlach"," R","Pa.",59
"135","Sen. Tim Kaine, D-Va., 56",TRUE,"2/26/2014",26,2,"Sen. Tim Kaine"," D","Va.",56
"137","Rep. Adam Kinzinger, R-Ill., 36",TRUE,"2/27/2014",27,2,"Rep. Adam Kinzinger"," R","Ill.",36
"138","Rep. Luke Messer, R-Ind., 45",TRUE,"2/27/2014",27,2,"Rep. Luke Messer"," R","Ind.",45
"140","Sen. Deb Fischer, R-Neb., 63",TRUE,"3/1/2014",1,3,"Sen. Deb Fischer"," R","Neb.",63
"141","Rep. Randy Hultgren, R-Ill., 48",TRUE,"3/1/2014",1,3,"Rep. Randy Hultgren"," R","Ill.",48
"143","Rep. Ami Bera, D-Calif., 49",TRUE,"3/2/2014",2,3,"Rep. Ami Bera"," D","Calif.",49
"144","Rep. Rosa DeLauro, D-Conn., 71",TRUE,"3/2/2014",2,3,"Rep. Rosa DeLauro"," D","Conn.",71
"146","Rep. Paul Cook, R-Calif., 71",TRUE,"3/3/2014",3,3,"Rep. Paul Cook"," R","Calif.",71
"147","Rep. David Schweikert, R-Ariz., 52",TRUE,"3/3/2014",3,3,"Rep. David Schweikert"," R","Ariz.",52
"149","Rep. James Lankford, R-Okla., 46",TRUE,"3/4/2014",4,3,"Rep. James Lankford"," R","Okla.",46
"150","Rep. Christopher H. Smith, R-N.J., 61",TRUE,"3/4/2014",4,3,"Rep. Christopher H. Smith"," R","N.J.",61
"152","Rep. Juan C. Vargas, D-Calif., 53",TRUE,"3/7/2014",7,3,"Rep. Juan C. Vargas"," D","Calif.",53
"154","Rep. Alan Lowenthal, D-Calif., 73",TRUE,"3/8/2014",8,3,"Rep. Alan Lowenthal"," D","Calif.",73
"156","Rep. Joyce Beatty, D-Ill., 64",TRUE,"3/12/2014",12,3,"Rep. Joyce Beatty"," D","Ill.",64
"157","Rep. Tammy Duckworth, D-Ill., 46",TRUE,"3/12/2014",12,3,"Rep. Tammy Duckworth"," D","Ill.",46
"159","Rep. Alan Grayson, D-Fla., 56",TRUE,"3/13/2014",13,3,"Rep. Alan Grayson"," D","Fla.",56
"160","Sen. John Hoeven, R-N.D., 57",TRUE,"3/13/2014",13,3,"Sen. John Hoeven"," R","N.D.",57
"162","Sen. Tom Coburn, R-Okla., 66",TRUE,"3/14/2014",14,3,"Sen. Tom Coburn"," R","Okla.",66
"164","Rep. Morgan Griffith, R-Va., 56",TRUE,"3/15/2014",15,3,"Rep. Morgan Griffith"," R","Va.",56
"166","Rep. Joseph Crowley, D-N.Y., 52",TRUE,"3/16/2014",16,3,"Rep. Joseph Crowley"," D","N.Y.",52
"167","Rep. Ron Kind, D-Wis., 51",TRUE,"3/16/2014",16,3,"Rep. Ron Kind"," D","Wis.",51
"169","Rep. David Joyce, R-Ohio, 57",TRUE,"3/17/2014",17,3,"Rep. David Joyce"," R","Ohio",57
"171","Rep. Howard Coble, R-N.C., 83",TRUE,"3/18/2014",18,3,"Rep. Howard Coble"," R","N.C.",83
"173","Rep. Mike Coffman, R-Colo., 59",TRUE,"3/19/2014",19,3,"Rep. Mike Coffman"," R","Colo.",59
"175","Rep. Jim Matheson, D-Utah, 54",TRUE,"3/21/2014",21,3,"Rep. Jim Matheson"," D","Utah",54
"177","Sen. Orrin G. Hatch, R-Utah, 80",TRUE,"3/22/2014",22,3,"Sen. Orrin G. Hatch"," R","Utah",80
"178","Rep. Pete Sessions, R-Texas, 59",TRUE,"3/22/2014",22,3,"Rep. Pete Sessions"," R","Texas",59
"180","Rep. Ann Kirkpatrick, D-Ariz., 64",TRUE,"3/24/2014",24,3,"Rep. Ann Kirkpatrick"," D","Ariz.",64
"181","Rep. Steve Stivers, R-Ohio, 49",TRUE,"3/24/2014",24,3,"Rep. Steve Stivers"," R","Ohio",49
"183","Rep. Jason Chaffetz, R-Utah, 47",TRUE,"3/26/2014",26,3,"Rep. Jason Chaffetz"," R","Utah",47
"184","Rep. Nancy Pelosi, D-Calif., 74",TRUE,"3/26/2014",26,3,"Rep. Nancy Pelosi"," D","Calif.",74
"186","Rep. David B. McKinley, R-W.Va., 67",TRUE,"3/28/2014",28,3,"Rep. David B. McKinley"," R","W.Va.",67
"187","Rep. Nydia M. Velazquez, D-N.Y., 61",TRUE,"3/28/2014",28,3,"Rep. Nydia M. Velazquez"," D","N.Y.",61
"189","Sen. Mark Begich, D-Alaska, 52",TRUE,"3/30/2014",30,3,"Sen. Mark Begich"," D","Alaska",52
"190","Rep. Gerald E. Connolly, D-Va., 64",TRUE,"3/30/2014",30,3,"Rep. Gerald E. Connolly"," D","Va.",64
"191","Rep. Janice Hahn, D-Calif., 62",TRUE,"3/30/2014",30,3,"Rep. Janice Hahn"," D","Calif.",62
"192","Rep. Patrick Murphy, D-Fla., 31",TRUE,"3/30/2014",30,3,"Rep. Patrick Murphy"," D","Fla.",31
"194","Rep. Tony Cardenas, D-Calif., 51",TRUE,"3/31/2014",31,3,"Rep. Tony Cardenas"," D","Calif.",51
"195","Sen. Angus King, I-Maine, 70",TRUE,"3/31/2014",31,3,"Sen. Angus King"," I","Maine",70
